experiment_id,model,model_short,sparsity,cal_nsamples,cal_tokens,pca_type,status,perplexity,compress_time_s,eval_time_s,total_time_s,model_load_time_s,num_layers,hidden_size,sliced_dim,original_params,sliced_params,shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,gpu_peak_mb,timestamp_start,timestamp_end,error
opt-125m_s25_n256_per-layer,facebook/opt-125m,opt-125m,0.25,256,524288,per-layer,success,37.97068405151367,54.70275545120239,4.035928964614868,67.28910446166992,2.2328882217407227,12,768,576,163860064,141239200,8073216,15.3984375,12,12,6586.13818359375,2025-12-12T15:28:30.174187,2025-12-12T15:29:37.617813,
opt-125m_s25_n256_global,facebook/opt-125m,opt-125m,0.25,256,524288,global,success,43.29770278930664,25.764103174209595,4.00579571723938,38.96234393119812,2.280819892883301,12,768,576,163860064,133608352,442368,0.84375,0,1,6586.13818359375,2025-12-12T15:29:39.665845,2025-12-12T15:30:18.782472,
opt-125m_s30_n16_per-layer,facebook/opt-125m,opt-125m,0.3,16,32768,per-layer,success,47.256404876708984,9.129909992218018,4.071055889129639,20.705641269683838,2.0621798038482666,12,768,536,163860064,133790840,7019456,13.3885498046875,12,12,6586.13818359375,2025-12-12T15:30:20.856709,2025-12-12T15:30:41.700218,
opt-125m_s30_n16_global,facebook/opt-125m,opt-125m,0.3,16,32768,global,success,52.93128967285156,4.678912401199341,4.040261745452881,17.606634855270386,2.7220304012298584,12,768,536,163860064,127183032,411648,0.78515625,0,1,6586.13818359375,2025-12-12T15:30:43.745807,2025-12-12T15:31:01.500415,
opt-125m_s30_n32_per-layer,facebook/opt-125m,opt-125m,0.3,32,65536,per-layer,success,45.70294952392578,12.254008531570435,4.07140588760376,23.975128412246704,2.1392366886138916,12,768,536,163860064,133790840,7019456,13.3885498046875,12,12,6586.13818359375,2025-12-12T15:31:03.571264,2025-12-12T15:31:27.694319,
opt-125m_s30_n32_global,facebook/opt-125m,opt-125m,0.3,32,65536,global,success,51.17556381225586,6.150924205780029,4.039517641067505,19.30488157272339,2.276813268661499,12,768,536,163860064,127183032,411648,0.78515625,0,1,6586.13818359375,2025-12-12T15:31:29.744677,2025-12-12T15:31:49.193316,
opt-125m_s30_n64_per-layer,facebook/opt-125m,opt-125m,0.3,64,131072,per-layer,success,44.959510803222656,17.757245779037476,4.072386980056763,29.890098571777344,2.176896572113037,12,768,536,163860064,133790840,7019456,13.3885498046875,12,12,6586.13818359375,2025-12-12T15:31:51.254923,2025-12-12T15:32:21.289742,
opt-125m_s30_n64_global,facebook/opt-125m,opt-125m,0.3,64,131072,global,success,52.1547737121582,8.751031160354614,4.038266658782959,20.816462755203247,2.138094425201416,12,768,536,163860064,127183032,411648,0.78515625,0,1,6586.13818359375,2025-12-12T15:32:23.336220,2025-12-12T15:32:44.301880,
opt-125m_s30_n128_per-layer,facebook/opt-125m,opt-125m,0.3,128,262144,per-layer,success,44.61189651489258,30.63921070098877,4.071995735168457,43.25657415390015,2.1581649780273438,12,768,536,163860064,133790840,7019456,13.3885498046875,12,12,6586.13818359375,2025-12-12T15:32:46.358065,2025-12-12T15:33:29.753064,
opt-125m_s30_n128_global,facebook/opt-125m,opt-125m,0.3,128,262144,global,success,52.367244720458984,14.581489086151123,4.039755821228027,26.679134845733643,2.1871063709259033,12,768,536,163860064,127183032,411648,0.78515625,0,1,6586.13818359375,2025-12-12T15:33:31.799703,2025-12-12T15:33:58.622548,
opt-125m_s30_n256_per-layer,facebook/opt-125m,opt-125m,0.3,256,524288,per-layer,success,44.43828582763672,54.905203104019165,4.07313871383667,67.87825179100037,2.4767088890075684,12,768,536,163860064,133790840,7019456,13.3885498046875,12,12,6586.13818359375,2025-12-12T15:34:00.691133,2025-12-12T15:35:08.704144,
opt-125m_s30_n256_global,facebook/opt-125m,opt-125m,0.3,256,524288,global,success,53.38675308227539,25.716192960739136,4.039900541305542,38.62788128852844,2.663649559020996,12,768,536,163860064,127183032,411648,0.78515625,0,1,6586.13818359375,2025-12-12T15:35:10.754364,2025-12-12T15:35:49.542706,
opt-1.3b_s10_n16_per-layer,facebook/opt-1.3b,opt-1.3b,0.1,16,32768,per-layer,success,15.513264656066895,56.694034814834595,20.560523986816406,91.36299228668213,2.8185503482818604,24,2048,1840,1418564704,1449584016,162891520,310.69091796875,24,24,17270.13330078125,2025-12-12T15:35:51.604294,2025-12-12T15:37:23.275108,
opt-1.3b_s10_n16_global,facebook/opt-1.3b,opt-1.3b,0.1,16,32768,global,success,15.56999397277832,30.00739860534668,19.997785091400146,63.28991484642029,2.34079909324646,24,2048,1840,1418564704,1290460816,3768320,7.1875,0,1,17416.16015625,2025-12-12T15:37:25.325810,2025-12-12T15:38:28.916897,
opt-1.3b_s10_n32_per-layer,facebook/opt-1.3b,opt-1.3b,0.1,32,65536,per-layer,success,15.271369934082031,76.56094217300415,20.58658528327942,110.22970271110535,2.528407335281372,24,2048,1840,1418564704,1449584016,162891520,310.69091796875,24,24,17416.16015625,2025-12-12T15:38:30.976298,2025-12-12T15:40:21.512862,
