experiment_id,model_short,num_layers,sparsity,k_value,method,num_blocks,perplexity,status,compress_time_s,eval_time_s,total_time_s,shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,hidden_size,sliced_dim,total_params,total_params_mb,gpu_peak_mb,model_load_time_s,timestamp_start,timestamp_end,error
opt-1.3b_s10_k4,opt-1.3b,24,0.1,4,k-block-4,6,747.9158935546875,success,98.59332537651062,22.18608069419861,135.4450798034668,20696320.0,39.47509765625,5.0,1.0,2048,1840,1307388816.0,2493.646270751953,17576.16015625,3.4236881732940674,2025-12-11T13:45:05.355545,2025-12-11T13:47:20.800646,
opt-1.3b_s10_k6,opt-1.3b,24,0.1,6,k-block-6,4,286.68328857421875,success,98.70760774612428,22.17659473419189,135.20148491859436,13925120.0,26.56005859375,3.0,1.0,2048,1840,1300617616.0,2480.731231689453,17512.16015625,2.435304880142212,2025-12-11T13:47:23.033309,2025-12-11T13:49:38.234812,
opt-1.3b_s10_k8,opt-1.3b,24,0.1,8,k-block-8,3,37.29500961303711,success,98.05092692375185,22.16652822494507,134.1368386745453,10539520.0,20.1025390625,2.0,1.0,2048,1840,1297232016.0,2474.273712158203,17480.16015625,2.8938305377960205,2025-12-11T13:49:40.421342,2025-12-11T13:51:54.558201,
opt-1.3b_s10_k12,opt-1.3b,24,0.1,12,k-block-12,2,34.91876983642578,success,98.57325267791748,22.127065896987915,134.61572003364563,7153920.0,13.64501953125,1.0,1.0,2048,1840,1293846416.0,2467.816192626953,17448.16015625,2.524145126342773,2025-12-11T13:51:56.791109,2025-12-11T13:54:11.406850,
opt-1.3b_s10_k24,opt-1.3b,24,0.1,24,global,1,15.539132118225098,success,99.82814240455627,22.132357597351078,135.98765325546265,3768320.0,7.1875,0.0,1.0,2048,1840,1290460816.0,2461.358673095703,17416.16015625,2.555975437164306,2025-12-11T13:54:13.635703,2025-12-11T13:56:29.623377,
opt-1.3b_s20_k1,opt-1.3b,24,0.2,1,per-layer,24,16.95267677307129,success,209.41310477256772,22.07563519477844,245.3253312110901,128523264.0,245.138671875,24.0,24.0,2048,1632,1283343552.0,2447.783569335937,17239.30078125,2.5941710472106934,2025-12-11T13:56:31.859737,2025-12-11T14:00:37.185105,
opt-1.3b_s20_k2,opt-1.3b,24,0.2,2,k-block-2,12,6006.83984375,success,98.97342896461488,21.75379753112793,135.27876949310303,32640000.0,62.255859375,11.0,1.0,2048,1632,1187460288.0,2264.900756835937,17768.16015625,3.0931222438812256,2025-12-11T14:00:39.416815,2025-12-11T14:02:54.695592,
opt-1.3b_s20_k3,opt-1.3b,24,0.2,3,k-block-3,8,1605.1123046875,success,98.42183876037598,21.720518589019772,133.87016224861145,21986304.0,41.935546875,7.0,1.0,2048,1632,1176806592.0,2244.580444335937,17640.16015625,2.372459173202514,2025-12-11T14:02:56.900709,2025-12-11T14:05:10.770895,
opt-1.3b_s20_k4,opt-1.3b,24,0.2,4,k-block-4,6,693.9523315429688,success,97.15305519104004,21.693223476409912,132.92881631851196,16659456.0,31.775390625,5.0,1.0,2048,1632,1171479744.0,2234.420288085937,17576.16015625,3.112758159637451,2025-12-11T14:05:12.971592,2025-12-11T14:07:25.900415,
opt-1.3b_s20_k6,opt-1.3b,24,0.2,6,k-block-6,4,343.6078186035156,success,98.29190945625304,21.700420379638672,133.5191295146942,11332608.0,21.615234375,3.0,1.0,2048,1632,1166152896.0,2224.260131835937,17512.16015625,2.512748003005981,2025-12-11T14:07:28.143709,2025-12-11T14:09:41.662861,
